Name,Accession_id,Length,Category
Ana1,Q9VC64,1729,Centriole core
CycB3,Q9I7I0,575,Kinase
CP110,Q2PDW6,666,Centriole core
Msps,Q9VEZ3,2042,PCM core
Asp,Q9VC45,1954,PCM core
AurB,Q9VKN7,,Kinetochore
